"CommandName","ParameterName"
"Add-LocalGroupMember","Member"
"Add-LocalGroupMember","Name"
"Add-LocalGroupMember","SID"
"Add-NetLbfoTeamMember","Name"
"Add-NetLbfoTeamNic","Name"
"Add-PartitionAccessPath","DiskNumber"
"Add-VMAssignableDevice","VMName"
"Add-VMDvdDrive","VMName"
"Add-VMFibreChannelHba","VMName"
"Add-VMGpuPartitionAdapter","VMName"
"Add-VMHardDiskDrive","VMName"
"Add-VMKeyStorageDrive","VMName"
"Add-VMNetworkAdapter","VMName"
"Add-VMNetworkAdapterAcl","VMName"
"Add-VMNetworkAdapterExtendedAcl","VMName"
"Add-VMNetworkAdapterRoutingDomainMapping","VMName"
"Add-VMPmemController","VMName"
"Add-VMRemoteFx3dVideoAdapter","VMName"
"Add-VMScsiController","VMName"
"Add-VMSwitchExtensionPortFeature","VMName"
"Add-WindowsCapability","Name"
"Checkpoint-VM","Name"
"Clear-Disk","UniqueId"
"Clear-Disk","Number"
"Clear-Disk","FriendlyName"
"Clear-RecycleBin","DriveLetter"
"Complete-VMFailover","VMName"
"Connect-VMNetworkAdapter","VMName"
"Copy-NetFirewallRule","PolicyStore"
"Copy-NetIPsecMainModeCryptoSet","PolicyStore"
"Copy-NetIPsecMainModeRule","PolicyStore"
"Copy-NetIPsecPhase1AuthSet","PolicyStore"
"Copy-NetIPsecPhase2AuthSet","PolicyStore"
"Copy-NetIPsecQuickModeCryptoSet","PolicyStore"
"Copy-NetIPsecRule","PolicyStore"
"Copy-VMFile","Name"
"Debug-VM","Name"
"Debug-Volume","DriveLetter"
"Debug-Volume","FileSystemLabel"
"Disable-LocalUser","SID"
"Disable-LocalUser","Name"
"Disable-NetAdapter","Name"
"Disable-NetAdapterBinding","Name"
"Disable-NetAdapterChecksumOffload","Name"
"Disable-NetAdapterEncapsulatedPacketTaskOffload","Name"
"Disable-NetAdapterIPsecOffload","Name"
"Disable-NetAdapterLso","Name"
"Disable-NetAdapterPacketDirect","Name"
"Disable-NetAdapterPowerManagement","Name"
"Disable-NetAdapterQos","Name"
"Disable-NetAdapterRdma","Name"
"Disable-NetAdapterRsc","Name"
"Disable-NetAdapterRss","Name"
"Disable-NetAdapterSriov","Name"
"Disable-NetAdapterUso","Name"
"Disable-NetAdapterVmq","Name"
"Disable-NetFirewallRule","PolicyStore"
"Disable-NetIPsecMainModeRule","PolicyStore"
"Disable-NetIPsecRule","PolicyStore"
"Disable-PSSessionConfiguration","Name"
"Disable-StorageHighAvailability","DiskNumber"
"Disable-VMConsoleSupport","VMName"
"Disable-VMIntegrationService","VMName"
"Disable-VMResourceMetering","VMName"
"Disable-VMTPM","VMName"
"Disable-WindowsOptionalFeature","FeatureName"
"Disconnect-VIServer","Server"
"Disconnect-VMNetworkAdapter","VMName"
"Enable-LocalUser","Name"
"Enable-LocalUser","SID"
"Enable-NetAdapter","Name"
"Enable-NetAdapterBinding","Name"
"Enable-NetAdapterChecksumOffload","Name"
"Enable-NetAdapterEncapsulatedPacketTaskOffload","Name"
"Enable-NetAdapterIPsecOffload","Name"
"Enable-NetAdapterLso","Name"
"Enable-NetAdapterPacketDirect","Name"
"Enable-NetAdapterPowerManagement","Name"
"Enable-NetAdapterQos","Name"
"Enable-NetAdapterRdma","Name"
"Enable-NetAdapterRsc","Name"
"Enable-NetAdapterRss","Name"
"Enable-NetAdapterSriov","Name"
"Enable-NetAdapterUso","Name"
"Enable-NetAdapterVmq","Name"
"Enable-NetFirewallRule","PolicyStore"
"Enable-NetIPsecMainModeRule","PolicyStore"
"Enable-NetIPsecRule","PolicyStore"
"Enable-PSSessionConfiguration","Name"
"Enable-StorageHighAvailability","DiskNumber"
"Enable-VMConsoleSupport","VMName"
"Enable-VMIntegrationService","VMName"
"Enable-VMReplication","VMName"
"Enable-VMResourceMetering","VMName"
"Enable-VMTPM","VMName"
"Enable-WindowsOptionalFeature","FeatureName"
"Enter-PSSession","VMName"
"Enter-PSSession","VMId"
"Export-VM","Name"
"Export-VMSnapshot","VMName"
"Export-WindowsImage","CompressionType"
"Find-Module","Name"
"Find-NetIPsecRule","LocalPort"
"Find-NetIPsecRule","RemotePort"
"Find-NetIPsecRule","Protocol"
"Format-Volume","FileSystemLabel"
"Format-Volume","DriveLetter"
"Get-ADComputer","Properties"
"Get-ADComputer","SearchBase"
"Get-ADFineGrainedPasswordPolicy","SearchBase"
"Get-ADGroup","SearchBase"
"Get-ADGroup","Properties"
"Get-ADObject","SearchBase"
"Get-ADOptionalFeature","SearchBase"
"Get-ADOrganizationalUnit","SearchBase"
"Get-ADOrganizationalUnit","Properties"
"Get-ADReplicationSite","Properties"
"Get-ADServiceAccount","SearchBase"
"Get-ADServiceAccount","Properties"
"Get-ADUser","SearchBase"
"Get-ADUser","Properties"
"Get-AppxPackage","Name"
"Get-AppxPackage","Publisher"
"Get-AppxPackageManifest","Package"
"Get-CimInstance","Property"
"Get-Command","Verb"
"Get-Command","ParameterName"
"Get-Command","Noun"
"Get-ComputerInfo","Property"
"Get-Counter","Counter"
"Get-Counter","ListSet"
"Get-DAPolicyChange","PolicyStore"
"Get-DedupProperties","FileSystemLabel"
"Get-DedupProperties","DriveLetter"
